x,y,h1,h2,met,rng,result
       1,1,8,4.00000000,-4.00000000,1.00000000,1.00000000,1
       2,0,4,-4.00000000,8.00000000,0.00000614,0.12317936,0
       3,3,6,-4.00000000,-4.00000000,1.00000000,1.00000000,1
       4,7,2,-4.00000000,-4.00000000,1.00000000,1.00000000,1
       5,7,5,-4.00000000,4.00000000,0.00033546,0.88457625,0
       6,4,1,-4.00000000,4.00000000,0.00033546,0.51222036,0
       7,8,1,-4.00000000,4.00000000,0.00033546,0.10649975,0
       8,0,3,-4.00000000,0.00000000,0.01831564,0.32165660,0
       9,7,6,-4.00000000,-4.00000000,1.00000000,1.00000000,1
      10,8,7,-4.00000000,-4.00000000,1.00000000,1.00000000,1
      11,8,2,-4.00000000,-4.00000000,1.00000000,1.00000000,1
      12,9,3,-4.00000000,-8.00000000,1.00000000,1.00000000,1
      13,6,9,-8.00000000,-12.00000000,1.00000000,1.00000000,1
      14,5,3,-12.00000000,4.00000000,0.00000011,0.50048691,0
      15,0,5,-12.00000000,-16.00000000,1.00000000,1.00000000,1
      16,6,9,-16.00000000,-12.00000000,0.01831564,0.92291854,0
      17,3,1,-16.00000000,-8.00000000,0.00033546,0.29763029,0
      18,9,0,-16.00000000,-24.00000000,1.00000000,1.00000000,1
      19,3,0,-24.00000000,-12.00000000,0.00000614,0.05683682,0
      20,2,2,-24.00000000,-24.00000000,1.00000000,1.00000000,1
      21,6,4,-24.00000000,-16.00000000,0.00033546,0.91690041,0
      22,8,0,-24.00000000,-12.00000000,0.00000614,0.36579250,0
      23,6,8,-24.00000000,-32.00000000,1.00000000,1.00000000,1
      24,5,0,-32.00000000,-28.00000000,0.01831564,0.90305163,0
      25,3,0,-32.00000000,-20.00000000,0.00000614,0.56110872,0
      26,2,4,-32.00000000,-24.00000000,0.00033546,0.26324362,0
      27,5,1,-32.00000000,-40.00000000,1.00000000,1.00000000,1
      28,9,8,-40.00000000,-36.00000000,0.01831564,0.71999053,0
      29,1,9,-40.00000000,-36.00000000,0.01831564,0.05764627,0
      30,6,8,-40.00000000,-32.00000000,0.00033546,0.83356958,0
      31,1,8,-40.00000000,-32.00000000,0.00033546,0.69586429,0
      32,9,6,-40.00000000,-44.00000000,1.00000000,1.00000000,1
      33,9,5,-44.00000000,-48.00000000,1.00000000,1.00000000,1
      34,1,3,-48.00000000,-56.00000000,1.00000000,1.00000000,1
      35,0,4,-56.00000000,-52.00000000,0.01831564,0.49962189,0
      36,4,6,-56.00000000,-48.00000000,0.00033546,0.70983881,0
      37,3,0,-56.00000000,-44.00000000,0.00000614,0.03556820,0
      38,8,2,-56.00000000,-56.00000000,1.00000000,1.00000000,1
      39,6,0,-56.00000000,-44.00000000,0.00000614,0.09658766,0
      40,4,8,-56.00000000,-56.00000000,1.00000000,1.00000000,1
      41,6,4,-56.00000000,-48.00000000,0.00033546,0.14064870,0
      42,3,9,-56.00000000,-60.00000000,1.00000000,1.00000000,1
      43,1,7,-60.00000000,-60.00000000,1.00000000,1.00000000,1
      44,4,7,-60.00000000,-68.00000000,1.00000000,1.00000000,1
      45,3,4,-68.00000000,-60.00000000,0.00033546,0.47659223,0
      46,7,6,-68.00000000,-68.00000000,1.00000000,1.00000000,1
      47,5,7,-68.00000000,-60.00000000,0.00033546,0.43475436,0
      48,0,7,-68.00000000,-72.00000000,1.00000000,1.00000000,1
      49,4,1,-72.00000000,-56.00000000,0.00000011,0.97367233,0
      50,7,9,-72.00000000,-68.00000000,0.01831564,0.03891308,0
